index,key,value,p-value,test-statistic,critical-values
257,UHGWW,WALDW,0.00017821114528137418,-4.981259225316096,[-3.94060523 -3.36058133 -3.06139039]
258,UTSI,VVOS,4.955157918403618e-05,-5.2761983464226185,[-3.94060523 -3.36058133 -3.06139039]
259,VANI,WALDW,0.00029235917092668406,-4.86245829766609,[-3.94060523 -3.36058133 -3.06139039]
260,VAPEW,WALDW,1.6633705298182381e-09,-7.296276619853643,[-3.94060523 -3.36058133 -3.06139039]
261,VFSWW,WALDW,0.012543933826972773,-3.8251649594355577,[-3.94060523 -3.36058133 -3.06139039]
262,VGAS,VVOS,0.02047905494011564,-3.6621930074539617,[-3.94060523 -3.36058133 -3.06139039]
263,VLCN,VVOS,0.01600080773035948,-3.745445791986401,[-3.94060523 -3.36058133 -3.06139039]
264,VLYPN,WHFCL,0.019163810656821885,-3.684843155379782,[-4.01543806 -3.40120285 -3.0893956 ]
265,VS,WALDW,0.012505070763851718,-3.826166862899963,[-3.94060523 -3.36058133 -3.06139039]
266,VSSYW,WALDW,0.000426338904744071,-4.769869379610286,[-3.94060523 -3.36058133 -3.06139039]
