,ticker1,ticker2,cashWallet,startDate,endDate,SharesOwnedT1,SharesOwnedT2,percentChange
137,OCC,OSTX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
138,OGEN,OPI,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
139,OMH,OPI,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
140,ONBPO,ONBPP,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
141,ONCY,OPI,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
142,ONL,OSTX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
143,ONMD,OPI,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
144,PACB,QNRX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
145,PARA,PHD,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
146,PARAA,PYT,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
147,PCF,QS,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
148,PCSA,QNRX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
149,PENN,PRVA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
150,PETZ,QNRX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
151,PFLT,QVCD,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
152,PGRE,QS,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
153,PKST,QVCD,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
154,PLUG,QNRX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
155,PMVP,QNRX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
156,PRSO,QNRX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
157,PTHS,QNRX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
158,PTY,QVCD,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
159,PWM,QNRX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
160,PZG,QNRX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
161,RAIN,TSHA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
162,RCUS,TRIN,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
163,REFI,TRIN,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
164,RETO,TSHA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
165,REVBW,TRUG,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
166,RFAIR,TSHA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
167,RFMZ,TRIN,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
